معرف_التذكرة,السؤال,الإجابة
101,كيف أقوم بإعادة تعيين كلمة المرور الخاصة بي؟,اتبع دليل إعادة تعيين كلمة المرور في مستندات تكنولوجيا المعلومات.
102,كيف أتقدم بطلب إجازة؟,قدم طلب الإجازة من خلال بوابة الموارد البشرية.
103,مشكلة في الاتصال بشبكة VPN,تحقق من إعدادات VPN واتصل بقسم تكنولوجيا المعلومات إذا استمرت المشكلة.
104,الوصول إلى بوابة الموارد البشرية,تأكد من أن حسابك نشط واستخدم بيانات الاعتماد الخاصة بك.
105,طلب تثبيت برنامج,املأ نموذج طلب البرنامج واحصل على موافقة المدير.
106,غير قادر على الوصول إلى القرص المشترك,تحقق من أذونات الشبكة وإعدادات الوصول إلى المجلد.
107,حساب البريد الإلكتروني لا يتم مزامنته,تحقق من إعدادات البريد الإلكتروني وأعد توصيل حسابك.
108,نسيت كلمة مرور VPN,أعد تعيين كلمة مرور VPN باستخدام بوابة تكنولوجيا المعلومات.
109,كيف أقدم تقرير المصروفات؟,قدم عبر بوابة المالية وأرفق الإيصالات.
110,طلب أجهزة جديدة,املأ نموذج طلب الأجهزة واحصل على موافقة المدير.
